Matrículas por Turmas
Data: 31/05/2025 12:39:56
------------------------------
ID,Aluno,Turma
1,Manoel Raul,3 - Banco de Dados
2,Isabela Rafaela Caldeira,1 - Redes de Computadores
3,Maria Eduarda Lima,1 - Redes de Computadores
4,Carlos Henrique Souza,5 - Sistemas de Informação
5,Adriana Rafaela Peixoto,5 - Sistemas de Informação
6,Thiago Ferreira,5 - Sistemas de Informação
7,Maria Eduarda Lima,4 - Computação em Nuvem
8,Fernanda Alves Rocha,1 - Redes de Computadores
9,Maria Eduarda Lima,2 - Engenharia de Software
10,Fernanda Alves Rocha,4 - Computação em Nuvem
11,Adriana Rafaela Peixoto,2 - Engenharia de Software
12,Carlos Henrique Souza,1 - Redes de Computadores
13,Fernanda Alves Rocha,2 - Engenharia de Software
14,Maria Eduarda Lima,5 - Sistemas de Informação
15,Adriana Rafaela Peixoto,3 - Banco de Dados
------------------------------
